7/18/19 15:10,most,of,the,ms-13,gang,members,indicted,&amp,arrested,in,l.a,were,illegal,aliens,19,of,22,they,are,said,to,have,killed,many,people,in,the,most,brutal,fashion,they,should,never,have,been,allowed,in,our,country,for,so,long,10,years,we,have,arrested,and,deported,thousands....,,,,,,,
8/22/19 0:20,it,was,my,honor,to,sign,a,presidential,memorandum,facilitating,the,cancellation,of,student,loan,debt,for,25k,of,our,most,severely,disabled,veterans,with,today’s,order,we,express,the,everlasting,love,&amp,loyalty,of,a,truly,grateful,nation,god,bless,our,vets,&amp,god,bless,america,https://t.co/mmmsx3rdqm,,,,,,,,,
4/26/19 14:25,just,out,real,gdp,for,first,quarter,grew,3.20%,at,an,annual,rate,this,is,far,above,expectations,or,projections,importantly,inflation,very,low,make,america,great,again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/19 21:32,https://t.co/1kosnhguw2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/19 13:58,....what,does,it,mean,for,america,to,have,free,healthcare,for,illegal,immigrants,no,criminalization,of,coming,into,our,country,-,see,how,that,works,for,controlling,immigration,they,talk,about,israel,like,they’re,a,bunch,of,thugs,not,victims,of,the,entire,region,they,wanted...,,,,,,,,,,,
4/13/19 3:33,another,fake,story,on,@nbcnews,that,i,offered,pardons,to,homeland,securiy,personnel,in,case,they,broke,the,law,regarding,illegal,immigration,and,sanctuary,cities,of,course,this,is,not,TRUE,mainstream,media,is,corrupt,and,getting,worse,if,that,is,possible,every,day,,,,,,,,,,,,,
3/19/19 12:24,the,fake,news,media,has,never,been,more,dishonest,or,corrupt,than,it,is,right,now,there,has,never,been,a,time,like,this,in,american,history,very,exciting,but,also,very,sad,fake,news,is,the,absolute,enemy,of,the,people,and,our,country,itself,,,,,,,,,,,
2/11/19 13:18,the,democrats,do,not,want,us,to,detain,or,send,back,criminal,aliens,this,is,a,brand,new,demand,crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/19 13:23,i,inherited,a,total,mess,in,syria,and,afghanistan,the,“endless,wars”,of,unlimited,spending,and,death,during,my,campaign,i,said,very,strongly,that,these,wars,must,finally,end,we,spend,$50 ,billion,a,year,in,afghanistan,and,have,hit,them,so,hard,that,we,are,now,talking,peace...,,,,,,,
8/15/19 16:38,representatives,omar,and,tlaib,are,the,face,of,the,democrat,party,and,they,hate,israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/19 15:02,93%,approval,rating,in,the,republican,party,52%,approval,rating,overall,not,bad,considering,i,get,the,most,unfair,(bad),press,in,the,history,of,presidential,politics,and,don’t,forget,the,witch,hunt,,,,,,,,,,,,,,,,,,,,,,,,
8/28/19 22:26,a,sad,day,for,the,democrats,kirsten,gillibrand,has,dropped,out,of,the,presidential,primary,i’m,glad,they,never,found,out,that,she,was,the,one,i,was,really,afraid,of,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/19 17:50,the,fake,news,media,keeps,saying,we,haven’t,built,any,new,wall,below,is,a,section,just,completed,on,the,border,anti-climbing,feature,included,very,high,strong,and,beautiful,also,many,miles,already,renovated,and,in,service,https://t.co/uaagxl5byr,,,,,,,,,,,,,,,,,,,
4/18/19 12:07,presidential,harassment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/19 12:37,a,big,new,caravan,is,heading,up,to,our,southern,border,from,honduras,tell,nancy,and,chuck,that,a,drone,flying,around,will,not,stop,them,only,a,wall,will,work,only,a,wall,or,steel,barrier,will,keep,our,country,safe,stop,playing,political,games,and,end,the,shutdown,,,,,,,
